Unnamed: 0,original,scored_text,distance,score,tfidf_distance,laser_distance,use_distance,fasttext_distance,bert_distance
0,великий княжество владимирский 1157год      —      суздальский княжество     —      русский княжество xii     —     xivвек становиться ядро современный российский государствавый узкий смысл     —      территория который лично владеть великий князь владимирский широкий смысл     —      территория весь княжество выделяться владимирский зависимый владимирский князь середина xiii век сюзеренитет великий князь владимирский признавать также новгородский небольшой перерыв псковский республика,середина xiii век сюзеренитет великий князь владимирский признавать также новгородский небольшой перерыв псковский республикива узкий смысл     —      территория который лично владеть великий князь владимирский широкий смысл     —      территория весь княжество выделяться владимирский зависимый владимирский князявеликий княжество владимирский 1157год      —      суздальский княжество     —      русский княжество xii     —     xivвек становиться ядро современный российский государство,0.923924207687378,5,0.9702368348198245,0.9378988146781921,0.9952492117881775,0.9944412112236023,0.8924601
1,новгородский республика      —      севернорусский средневековый государство существовать 1136 год 1478 год период большой расцвет кроме новгородский земля узкий смысл включать также территория балтийский мор запад уральский гора восток белый мор север верховье волга западный двина юг находиться 1245 год сюзеренитет великий князь владимирский титул который xiv век становиться наследовать исключительно московский князь новгородский республика 1478 год завоёвывать иван iii полностью входить состав централизовать русский государство,находиться 1245 год сюзеренитет великий князь владимирский титул который xiv век становиться наследовать исключительно московский князь новгородский республика 1478 год завоёвывать иван iii полностью входить состав централизовать русский государство период большой расцвет кроме новгородский земля узкий смысл включать также территория балтийский мор запад уральский гора восток белый мор север верховье волга западный двина югеновгородский республика      —      севернорусский средневековый государство существовать 1136 год 1478 год,0.9081195592880248,5,0.9863876022624306,0.9396968483924866,0.9909681081771851,0.9967789649963379,0.884954
2,великий княжество литовский     —      восточноевропейский государство существовать середина xiii век 1795 год территория современный белоруссия обширный земля русь попадать власть великий княжество литовский составлять львиный доля территория именоваться литовский русьюс 1385 год находиться личный уния королевство польский 1569 год     —      сеймовый люблинский уния состав федеративный речь посполивать,1385 год находиться личный уния королевство польский 1569 год     —      сеймовый люблинский уния состав федеративный речь посполивать обширный земля русь попадать власть великий княжество литовский составлять львиный доля территория именоваться литовский русьювеликий княжество литовский     —      восточноевропейский государство существовать середина xiii век 1795 год территория современный белоруссия,0.8618826270103455,5,0.9858858727090462,0.9315319657325745,0.9950127005577087,0.9971486926078796,0.8968606
3,великий княжество московский     —      средневековый русский княжество существовать 1263 1478 год первоначально удел великий княжество владимирский соперничать удельный княжество великокняжеский ярлык выдавать ордынский хан возвышение москва укрепление авторитет русь способствовать перенос кафедра киевский митрополит пётр владимир москва 1325 год,возвышение москва укрепление авторитет русь способствовать перенос кафедра киевский митрополит пётр владимир москва 1325 год первоначально удел великий княжество владимирский соперничать удельный княжество великокняжеский ярлык выдавать ордынский ханамивеликий княжество московский     —      средневековый русский княжество существовать 1263 1478 год,0.9014164209365844,5,0.9869352635831932,0.9139595627784729,0.989715576171875,0.9847036600112915,0.9045717
4,олег      —      князь новгородский 879 год великий князь киевский 882 годаполучать власть новгородский земля смерть рюрик регент малолетний сын игорь олег захватить киев перенести туда столица объединять самый главный центр восточный славянин,получать власть новгородский земля смерть рюрик регент малолетний сын игорь олег захватить киев перенести туда столица объединять самый главный центр восточный славянолегать      —      князь новгородский 879 год великий князь киевский 882 год,0.9165088534355164,5,0.9226150105689201,0.9234470725059509,0.9855591654777527,0.9717199802398682,0.88984483
5,святослав ярослав крещение николай год     : «     родисить сын ярослав наречивать имя святослав     »      1054 год ярослав поделить русь сын,1054 год ярослав поделить русь сын     »     святослав ярослав крещение николай год     : «     родисить сын ярослав наречивать имя святослав,0.9031904339790344,5,0.9999999999999999,0.9368129968643188,0.9941017031669617,1.0,0.89879096
6,святополк 1069 год отец посадить святополк полоцк место умерший мстислав 1071 год всеслав брячисло прежний князь полоцкий вернуть волость,1071 год всеслав брячисло прежний князь полоцкий вернуть волостьва 1069 год отец посадить святополк полоцк место умирать мстиславасвятополк,0.9112085700035096,5,0.8703199871060056,0.9205771684646606,0.9594834446907043,0.944237470626831,0.8508779
7,владимир всеволод моном государственный деятель военачальник писатель мыслитель сохраняться печать владимир моном использовать также титул архонт весь земля русский манер византийский титулавладимир моном сын князь всеволод ярослав,владимир моном сын князь всеволод ярослав сохраняться печать владимир моном использовать также титул архонт весь земля русский манер византийский титулавладимир всеволод моном государственный деятель военачальник писатель мыслитель,0.9334312081336976,5,0.9999999999999999,0.9572398662567139,0.9972162246704102,0.9923076629638672,0.9145005
8,ярополк владимир      —      сын владимир моном князь переяславский великий князь киевский 1132 распадаться единый древнерусский государствоярополк рождаться вероятный чернигов княжить отец владимир моном,ярополк рождаться вероятный чернигов княжить отец владимир моном распадаться единый древнерусский государствоярополк владимир      —      сын владимир моном князь переяславский великий князь киевский 1132,0.9335373044013976,5,1.0000000000000002,0.9273672103881836,0.9911094903945923,0.9967836141586304,0.9056325
9,всеволод ольгович всеволод старший сын князь олег святосол 1111 год вместе князь принимать участие поход половцев,1111 год вместе князь принимать участие поход половцеввсеволод старший сын князь олег святославичавсеволод ольгович,0.908122181892395,5,0.8328465303660505,0.8905516266822815,0.9801785945892334,0.9641256928443909,0.84121287
